"[125, 125, 125],","""Unknown"","
"[165, 42, 42],","""Bird"","
"[0, 192, 0],","""Ground Animal"","
"[196, 196, 196],","""Curb"","
"[255, 119, 0],","""Fence"","
"[180, 165, 180],","""Guard Rail"","
"[90, 120, 150],","""Barrier"","
"[102, 102, 156],","""Wall"","
"[128, 64, 255],","""Bike Lane"","
"[140, 140, 200],","""Crosswalk - Plain"","
"[170, 170, 170],","""Curb Cut"","
"[250, 170, 160],","""Parking"","
"[96, 96, 96],","""Pedestrian Area"","
"[230, 150, 140],","""Rail Track"","
"[128, 64, 128],","""Road"","
"[110, 110, 110],","""Service Lane"","
"[244, 35, 232],","""Sidewalk"","
"[150, 100, 100],","""Bridge"","
"[70, 70, 70],","""Building"","
"[150, 120, 90],","""Tunnel"","
"[220, 20, 60],","""Person"","
"[255, 0, 0],","""Bicyclist"","
"[255, 0, 100],","""Motorcyclist"","
"[255, 0, 200],","""Other Rider"","
"[200, 128, 128],","""Lane Marking - Crosswalk"","
"[255, 255, 255],","""Lane Marking - General"","
"[64, 170, 64],","""Mountain"","
"[230, 160, 50],","""Sand"","
"[70, 130, 180],","""Sky"","
"[190, 255, 255],","""Snow"","
"[152, 251, 152],","""Terrain"","
"[107, 142, 35],","""Vegetation"","
"[0, 170, 30],","""Water"","
"[255, 255, 128],","""Banner"","
"[250, 0, 30],","""Bench"","
"[100, 140, 180],","""Bike Rack"","
"[220, 220, 220],","""Billboard"","
"[220, 128, 128],","""Catch Basin"","
"[222, 40, 40],","""CCTV Camera"","
"[100, 170, 30],","""Fire Hydrant"","
"[40, 40, 40],","""Junction Box"","
"[33, 33, 33],","""Mailbox"","
"[100, 128, 160],","""Manhole"","
"[142, 0, 0],","""Phone Booth"","
"[70, 100, 150],","""Pothole"","
"[210, 170, 100],","""Street Light"","
"[153, 153, 153],","""Pole"","
"[128, 128, 128],","""Traffic Sign Frame"","
"[0, 0, 80],","""Utility Pole"","
"[250, 170, 30],","""Traffic Light"","
"[192, 192, 192],","""Traffic Sign (Back)"","
"[220, 220, 0],","""Traffic Sign (Front)"","
"[140, 140, 20],","""Trash Can"","
"[119, 11, 32],","""Bicycle"","
"[150, 0, 255],","""Boat"","
"[0, 60, 100],","""Bus"","
"[0, 0, 142],","""Car"","
"[0, 0, 90],","""Caravan"","
"[0, 0, 230],","""Motorcycle"","
"[0, 80, 100],","""On Rails"","
"[128, 64, 64],","""Other Vehicle"","
"[0, 0, 110],","""Trailer"","
"[0, 0, 70],","""Truck"","
"[0, 0, 192],","""Wheeled Slow"","
"[32, 32, 32],","""Car Mount"","
"[120, 10, 10]","""Ego Vehicle"""